year,title,inventor_estimates,location_estimates,description
1930,Antimatter,"['Davisson', 'Thomson', 'Paul Adrien Maurice Dirac', 'Dirac', 'Dirac Dirac']",['British'],"The demonstration by Davisson and Thomson that electron waves really existed (see 1927) encouraged the British physicist Paul Adrien Maurice Dirac (1902-1984) to develop the mathematics of electron waves.

From the equations he derived, it seemed to him that electrons and protons (the only two subatomic particles then known) had to exist in two energy states, one positive and one negative. At first Dirac assumed that the electron and proton themselves represented the two energy states and were fundamentally the same particle.

That would have been a great simplification of subatomic physics, but it didn't stand up. The proton  and electron were too different in too many ways, notably in mass.

In 1930 Dirac suggested that both the electron and proton, as known, were in the positive state, but that each could exist in a negative state as well. That is, there should be a particle precisely like the negatively charged electron in every way except that it had a positive electric charge, and there should be a particle precisely like the positively charged proton in every way except that it had a negative electric charge.

These negative-state particles came to be thought of eventually as antiparticles—an antielectron and an antiproton— and it was not difficult to imagine that, just as protons and electrons made up matter, so antiprotons and antielectrons, if they actually existed, would make up antimatter.

Dirac was correct, they did exist, and he was awarded a share (along with Schrodinger—see 1926) of the Nobel Prize for physics in 1933.

"
1930,Cyclotron,"['Ernest Orlando Lawrence', 'Lawrence']","['Walton', 'American']","The particle accelerator developed by Cockeroft and Walton (see 1929) forced particles to travel in a

straight line, faster and faster, thus piling up more and more energy, while being pushed on ahead by a magnetic field. The difficulty with this was that in order to get really high energies, the device had to be inconveniently long.

It seemed to the American physicist Ernest Orlando Lawrence (1901 — 1958) that, instead of pushing the particles ever onward, it might be handier to make them travel in circles, giving them a magnetic-field push each time they came around.

In 1930, therefore, he built a small device in which protons were made to travel between the poles of a large magnet that deflected their paths into cir-

cles. At each turn, they received another push of electric potential. This made them travel faster and therefore in a path that, under the constant force of the magnet, curved less sharply. The path was a sort of spiral that brought them closer and closer to the rim of the instrument. By the time the charged particles finally shot out of the instrument altogether, they had accumulated high energies indeed.

Lawrence called the device a cyclotron, because the particles moved in cycles. His first device was quite small, but it produced more energetic particles than a very long voltage multiplier would have.

For this, Lawrence was awarded the Nobel prize for physics in 1939.

"
1930,Computer,"['Babbage', 'Vannevar Bush', 'Babbage Bush']",['American'],"Babbage had tried to build a machine that would solve complicated mathematical problems by purely mechanical means (see 1822). He was defeated by the fact that mechanical methods of the day were, by and large, too coarse to do the work.

By the 1920s, engineers had at their disposal electric currents, together with radio tubes to control those currents. These cut down on the number of moving parts needed and supplied a much more delicate way of controlling the parts of what came to be called a compuiter,

In 1930 the American electrical engineer Vannevar Bush (1890-1974) produced the first machine capable of solving differential equations and the first one that Babbage would have recognized as fulfilling his design. However, Bush's computer was only partly electronic.

"
1930,Crystalline Enzymes,"['Sumner', 'John Howard Northrop', 'Northrop', 'Northrop Sumner', 'Vitamins', 'Paul Karrer', 'Karrer']","['Willstatter', 'American', 'Swiss']","Sumner had crystallized

urease and shown that one enzyme at least was a pro-

tein (see 1926). He had little reputation in the field, however, and biochemists generally hesitated to accept his results in the face of contrary views by much betterknown biochemists such as Willstatter (see 1906).

In 1930, however, the American biochemist John Howard Northrop (1891— 1987) managed to crystallize, not a rather off-beat enzyme such as urease, but the very well-known digestive enzyme pepsin and showed it to be a protein. That really settled the matter (especially when Northrop went on to crystallize other well-known enzymes as well).

The result was that Northrop was awarded a share (along with Sumner) of the Nobel Prize for chemistry in 1946.

Vitamin A Structure

Vitamins had been known and worked with and used in nutrition and medicine for a third of a century, but they still remained mysterious, because their molecular structure was not known.

In 1930, however, the Swiss chemist Paul Karrer (1889-1971) showed that vitamin A was related to the carotenoids, of which the

most familiar is carotene, the coloring matter of carrots. Other carotenoids are found in sweet potatoes, egg volk, tomatoes, lobster shells, and human skin.

Vitamin A rather resembled half a molecule of carotene. This was finally proved when Karrer eventually synthesized it, which led to a rash of molecular determinations and syntheses of other vitamins, and the mystery (of their structure, at least) was removed.

"
1931,Freon,"['Thomas Midgley', 'Freon']",['American'],"By now, refrigerators and air-conditioners existed, and general use was made of liquids that could be evaporated and so draw heat from the surrounding environment, thus lowering the temperature, as in the method used for liquefying gases.

The main trouble was that the gases used for the purpose were ammonia and sulfur dioxide, for the most part, and that these had choking odors and were actually poisonous, so that leaks in the system were bound to be uncomfortable and might be dangerous.

It would be ideal if one could find a liquid that was odorless, easily evaporated, nonpoisonous, and stable.

Just such a liquid was  discovered by the American chemist Thomas Midgley, Jr. (see 1921). In 1930 he prepared difluoredichloromethane, with a molecule consisting of a carbon atom to which two chlorine atoms and two fluorine atoms were attached. It had all the properties needed for refrigeration.

It belonged to the class of chlorofluorocarbons, and other molecules of the class had uses too. For example, such liquids could be used in spray cans to force other liquids out in a fine mist.

Trademarked preparations of the liquid, like Freon, rapidly went into use. They made air-condi-

tioners common and, indeed, in developed societies, nearly universal equipment. Eventually

however, the chlorofluorocarbons were found to have dangers that at the time of their discovery could not have been foreseen, and their use is now being increasingly discouraged.

"
1931,Godel’s Proof,"['Frege', 'Kurt Godel', 'Gadel', 'Godel', 'Godel Heisenberg']",['Austrian'],"Thirty years earlier, Frege had attempted to place all of mathematics on a formal logical basis, making it fully rigorous, and had failed (see 1902). Other, more elaborate attempts followed.

An Austrian mathematician, Kurt Godel (1906— 1978), put a final end to

such schemes in 1931 by advancing what is now called Gadel's proof. He translated the symbols of symbolic logic into numbers in a systematic way and showed that it was always possible to construct a number that could not be arrived at from the other numbers of his system.

What it amounted to was this; Godel showed

that if you began with any set of axioms, there would always be statements within the system governed by those axioms that could be neither proved nor disproved on the basis of those axioms. If the axioms were modified in such a way that the statement could be either proved or disproved, then another statement could be constructed that

could be neither proved nor disproved in the new system, and so on forever,

Godel had thus ended the search for certainty in mathematics by showing that it did not and could not exist, just as Heisenberg had in physics (see 1927).

However, Godel's proof does not affect the nittygritty of ordinary mathematics. Two plus two is still four.

"
1931,Neutrino,"['Generally', 'Pauli', 'Fermi']",['Italian'],"For over a decade, physicists had been plagued with the problem of beta-particle emission. Beta particles might be fired out of a nucleus with all the energy to be expected from the loss in mass as one nucleus broke down into another. Generally, though, they came out with less energy, and to an unpredictable degree. They sometimes emerged with very little energy, in fact, and some physicists, in despair, felt that the law of conservation of energy simply didn't hold in connection with beta-particle emission.

In 1931, however, Pauli, who had worked out the exclusion principle (see 1925), suggested an explanation that did not violate energy conservation. He suggested that, along with

the electron, another particle was given off, and that

the energy was divided between the electron and the other particle in a random manner.

Since the electron had all the electric charge available, the other particle had to be electrically uncharged, or neutral. Since all the kinetic energy of an electron could be converted into only a tiny quantity of mass, the other particle would have little or no mass.

The next year Fermi, who had devised a mathematical treatment for electron distribution (see 1926), named the other particle the neutrino (Italian for “little neutral one"").

Since it lacked both mass and electric charge, the neutrino was sure to be very difficult to detect, assuming it existed at all, and for a quarter of a century it remained a kind of “ghost particle,” with theoretical reasons for existing but backed by no observational evidence.

"
217,Deuterium,"['Harold Clayton Urey', 'Urey']","['American', 'Greek']","As more and more stable elements proved to be made up of mixtures of isotopes, there was considerable feeling that even the lightest and simplest of the elements, hydrogen, ought to consist of isotopes. Hydro-

gen has an atomic weight of very close to 1, so that if it did consist of isotopes, hydrogen-1 must be overwhelmingly the most common. Still, there might be very small quantities of hydrogen-2 present.

The American chemist Harold Clayton Urey (1893—-1981) tackled the problem in 1931. He reasoned that hydrogen-2, being the more massive atom, would be less easily evaporated than hydrogen1. If, then, he slowly evaporated a large quantity of liquid hydrogen, the final bit of liquid ought to have a percentage of hydrogen-2 larger than that in the supply he began with.

Now if hydrogen-2 were present, its spectral lines ought to have slightly different wavelengths than those of hydrogen-1, and the ordinary hydrogen spectrum ought to have, accompanying each spectral line, a very faint one nearby— too faint to be sure of.

However, when most of the liquid hydrogen had evaporated, leaving an unusually high concentration of hydrogen-2, the hydrogen-2 lines ought to become more prominent and should be unmistakable.

This turned out to be 50, and Urey announced the discovery at once.

Hydrogen-2 came to be called heavy hydrogen or deuterivom (from the Greek word for “two""). For this discovery, Urey was awarded the Nobel Prize for chemistry in 1934.

"
217,Resonance,"['London', 'Linus Carl Pauling', 'Pauling']",['American'],"Four years earlier, London had applied quantum mechanics to the electronsharing between hydrogen atoms in the hydrogen molecule. In 1931 the American chemist Linus Carl Pauling (b. 1901) extended this to the electron-sharing in organic compounds generally.

Consider the benzene molecule, for instance. It consists of six carbon atoms in a hexagonal ring, with one hydrogen atom attached to each carbon atom. Such a ring must have single bonds and double bonds in alternation. Double bonds in ordinary organic compounds represent a region of activity where two hydrogen atoms can easily be added. In the case of benzene, however, the double bonds are stable and are difficult to add to. The great stability of the benzene ring was a puzzle. Some suggested that the double bonds switched endlessly, so that any given adjacent pair of atoms were

connected by a single bond and a double bond in rapid alternation.

Pauling showed in 1931, however, that if all the atoms of a molecule were in a single plane (as was true of benzene) and symmetrically placed (as was again true of benzene), then the electron waves would spread out over the carbon atoms generally, so that what connected the carbon atoms was neither an ordinary single bond nor an ordinary double bond but something intermediate between the two. This spreading out of the electrons (resonance) represented a very stable conformation, and any molecule increased in stability where there was an opportunity for resonance.

The concept of resonance helped greatly in explaining the manner of chemical reactions and made them far more predictable. For this, and for his work on chemical structure made possible by the concept of resonance, Pauling was awarded the Nobel Prize for chemistry in 1954,

"
217,Androsterone,"['Butenandt', 'Butenandt Butenandt']",['Greek'],"Butenandt had isolated estrone, a female sex hormone (see 1929). It seemed

obvious that if female sex hormones existed, male sex hormones must also exist.

In 1931 Butenandt obtained a small quantity of a hormene that was named androsterone (from the Greek word for “man”’). It is produced by cells of the testicle and stimulates the type of development required to produce the characteristics of the adult male. Butenandt isolated only 15 milligrams of the hormone (a two-thousandth of an ounce), but by delicate microanalytical methods, he was able to make two analyses of the compound.

For his work on the sex hormones, Butenandt was awarded a share of the Nobel Prize for chemistry in 1939,

"
217,Neoprene,"['Rubber', 'Brazil', 'Julius Arthur Nieuwland', 'Nieuwland']","['Malaya', 'Europe', 'America', 'American']","Rubber had become a vital resource in an age of automobiles. Its use in tires was essential, and it had a myriad of other uses as well. The major producer of rubber was originally Brazil, but production had been transferred to Malaya. The possibility of such a distant source being cut off in time of war or political unrest made it advisable, even imperative, that the industrial nations of Europe and

America devise some sort of synthetic rubber that could be made at home.

One of those involved in the search was a Belgian-born American chemist, Julius Arthur Nieuwland (1878—1936). His researches uncovered the fact that acetylene, a compound with a molecule made up of two carbon’ atoms and two hydrogen atoms, could polymerize; that is, add other atoms onto itself to form a long chain of atoms. At some stage, this chain gained some of the properties of rubber.

Nieuwland found that if, at the four-carbon stage, chlorine atoms were attached, the resulting chain was far more like rubber. By 1931 he had what was called neoprene. This kept essential facets of the American economy rolling later when the rubber supply was indeed cut off.

"
217,Nylon,"['Wallace Hume Carothers', 'Carothers']",['Nieuwland'],"One of the most important natural polymers is silk, which is a protein fiber composed of a long string of relatively simple amino acids. Making silk from the cocoon of the silkworm (a caterpillar) is a tedious job.

It occurred to the Amer-

ican chemist Wallace Hume Carothers (1896— 1937) that an artificial polymer might be prepared that had the properties of silk. He had worked on polymers along with Nieuwland and had helped synthesize neoprene (see above).

Carothers began working with compounds called diamines and dicarboxylic acids. These combine alternately to form the same types of connections that amino acids do. In 1931 Carothers found a polymeric fiber that, after stretching, proved even stronger than silk. It was eventually called nylon, and the time was to come when it would replace silk to a very large extent.

"
217,Virus Particles,['William Joseph Elford'],"['Beijerinck', 'English']","Since the existence of viruses had first been demonstrated by Beijerinck (see 1898), some forty diseases (including measles, mumps, chickenpox, influenza, smallpox, poliomyelitis, rabies, and the common cold) had been found to

be caused by viruses, but their nature remained a mystery.

In 1931, an English bacteriologist, William Joseph Elford (1900-1952), managed to trap some in filters. He used fine collodion

<1

membranes, graded to keep out smaller and smaller particles. From the fineness of the membrane that could filter out the agents capable of producing a given disease, he could judge the size of that particular virus. He found that viruses were smaller than even the smallest bacteria, but that even the smallest viruses were larger than most molecules. Viruses, in other words, were objects that ranged in size from that of large protein molecules to nearly that of tiny bacteria.

"
1932,Virus Culture,"['Virus', 'Ernest William Goodpasture', 'Stratospheric Balloons Human', 'Auguste Piccard', 'Piccard']","['American', 'Swiss']","A great deal of the success in dealing with bacterial disease came about because it was possible to grow pure colonies of bacteria in glassware and study them in detail. Virus diseases presented a more intricate puzzle, because viruses would only multiply inside living cells.

In 1931, however, the American pathologist Ernest William Goodpasture (1886—1960) devised a technique for culturing viruses in eggs, which are, after all, living cells. This technique made it possible eventually to develop vaccines for a number of viral diseases, notably poliomyelitis.  Stratospheric Balloons

Human beings had reached heights of up to 6 miles in balleons but had done so

at great peril, for the air is not dense enough at such heights to be thoroughly capable of supporti i 1902). Uncrewed balloons were used to reach greater heights,

This was not satisfactory to the Swiss physicist Auguste Piccard (1884— 1962), who wanted to study the ionosphere and cosmic rays more intimately than the instruments of the day made possible. What had to be done, he felt, was to construct a sealed aluminum gondola within which a normal atmosphere could be maintained however high the balloon climbed.

In 1931, making use of such a sealed gondola, Piccard ascended to a height of nearly 10 miles, half again as high as human beings had ever risen before. This paved the way for other and even higher penetrations of the stratosphere by himself and others. Eventually, heights of nearly 20 miles were achieved.

"
203,Neutron,"['Uhlenbeck', 'Goudsmit', 'James Chadwick', 'Chadwick', 'Chadwick Heisenberg']","['English', 'Heisenberg']","For twenty years, it had been assumed that the atomic nucleus was made up of protons and electrons, since these were the only two subatomic particles known. Thus the nitrogen nucleus had a mass of 14,

so it must contain fourteen protons. On the other hand, the nitrogen nucleus had an electric charge of +7, whereas fourteen protons would have an electric charge of +14. Therefore, the nucleus must have seven electrons with a charge of —1 each to neu-

tralize the charge of seven of those protons. The net result was that the nitrogen nucleus was theught to be made up of 14 protons and 7 electrons, or 21 particles altogether.

But seven years earlier, when Uhlenbeck and Goudsmit worked out the con

cept of particle spin (see 1925), it had become clear that something was wrong with the proton-electron notion of nuclear structure. Protons and electrons both had a spin of either +'2 or — 4, If twenty-one such spins, or in fact any odd number of such spins, were added up (regardless of the distribution of pluses and minuses), the total spin should be one of the halfintegers: Y2, or 1'%, or 2%, and so on. The actual measured spin of the nitrogen nucleus, however, was an integer. The nucleus, therefore, could not contain an odd number of particles but had to contain an even number. There were other nuclei that shared this anomalous characteristic.

If the proton-electron combination could be counted as a single particle, however, then the nitrogen nucleus would contain seven protons and seven proton-electron combinations, for fourteen particles —an even number.

A proton-electron combination would have the mass of a proton but would carry no electric charge. If such a neutral particle existed, however, it would be difficult to detect, for the various devices for detecting subatomic particles all depended on the electric

charge these particles carried.

In 1930 Bothe, who had devised the coincidence counter (see 1929), became aware of strange radiations emerging from beryllium that had been exposed to bombardment with alpha particles, but he couldn't tell what the radiation consisted of.

In 1932, however, the English physicist James Chadwick (1891-1974) repeated the experiments and maintained that the best way of explaining the observations was to suppose that the alpha particles knocked neutral particles out of the beryllium nucleus. These particles could not be detected directly, since they lacked an electric charge, but they succeeded in knocking protons out of the atomic nuclei in paraffin, and those protons could be detected. A radiation capable of ejecting protons must consist of particles with a mass in the proton range, and a particle possessing the mass of a proton and no charge was just the thing to represent a proton-electron pair and yet be one particle and not two. The new particle was called a neutron, and it proved to be by far the most useful particle for initiating nuclear reactions.

For his discovery of the

neutron, Chadwick was awarded the Nobel Prize for physics in 1935.

ProtonNeutron Nucleus

As soon as the neutron was discovered by Chadwick (see above), Heisenberg (see 1925) pointed out that the atomic nucleus must be made up of protons and neutrons rather than protons and electrons.

Thus the nitrogen nucleus with a charge of +7 must contain seven protons. Since it had a mass of 14, it must also contain seven neutrons. That would mean fourteen particles altogether, and fourteen particles, each with with a spin of +'2 or — ', would add up to a total spin that was an integer no matter how you distributed the pluses and minuses. Given a proton-neutron nucleus, all nuclear spins turned out to match what was expected, and all spin anomalies disappeared.

What's more, the proton-neutron picture clearly explained the existence of isotopes. The nuclei of all atomns of oxygen, for instance, must contain eight protons, but the common oxygen-16 nucleus

must contain eight protons and eight neutrons, the oxygen-17 nucleus eight protons and nine neutrons, and the oxygen-18 nucleus eight protons and ten neutrons. In the case of hydrogen, the hydrogen-1 nucleus must contain a proton only, with the hydrogen-2 nucleus containing one proton and one neutron.

This new view of the nucleus solved the spin problem but introduced a new problem of its own. If the tiny nucleus were filled with protons, all of which were positively charged, there must be an intense repulsion among them. The neutrons, being uncharged, would do nothing te reduce the repulsion. How then account for the fact that the nucleus clings together strongly? (As long as it was thought that electrons existed in the nucleus, they might be viewed as a kind of cement, but that possibility was now gone.)

Heisenberg suggested that exchange forces might exist. In other words, the proton and neutron might exchange particles in such a way that a strong attraction would be produced, since the particles could not be exchanged unless the proton and neutron remained very close to-

gether. It took a few years for this notion to be properly developed.

"
203,Positron,"['Dirac', 'Carl David Anderson', 'Anderson', 'Anderson Dirac', 'Anderson Anderson']","['American', 'Millikan']","Dirac had predicted, from theoretical considerations, that there must be a particle just like the electron but with a positive charge rather than a negative one (see 1930). However, such an antielectron had not been observed in nature.

The American physicist Carl David Anderson (b. 1905) was working with Millikan (see 1911) on cosmic rays. To carry out his studies, he had devised a cloud chamber (see 1911) with a lead partition running across it. A cosmic ray particle entering an ordinary cloud chamber was so energetic that a magnetic field scarcely managed to deflect it at all, and from the virtually straight-line trace that resulted, not much information about it could be derived. If a lead partition was placed in the chamber, the cosmic ray particle had energy enough to smash through it but lost enough energy in the process to allow it to be easily deflected on the far side of the partition.

In 1932, while conducting research with his lead-partitioned cloud

chambers, Anderson noted tracks emerging from the lead that were clearly electron tracks (experienced researchers could read tracks at a glance). The only peculiarity was that the electron tracks curved in the wrong direction. Anderson had found the positively charged particle that Dirac had predicted—the antielectron. Anderson, however, thought of it as a positive electron and gave it the shortened name of positron, which it has carried ever since.

For his discovery, Anderson was awarded the Nobel Prize for physics in 1936, sharing it with Hess, who had discovered cosmic rays (see 1911).

"
203,Particle Accelerator and Nuclear Reaction,"['Radio', 'Static', 'Karl Guthe Jansky', 'Jansky', 'Jansky Jansky', 'Shapley']","['Rutherford', 'Cock', 'Walton', 'Space', 'Sagittarius']","The first human-made nuclear reaction had been carried through by Rutherford (see 1919). For the purpose, he had used alpha particles produced naturally by radioactive sources. Other nuclear reactions brought about since then had also made use of such alpha particles.

In 1932, however, Cock

croft and Walton, who had devised the first particle accelerator (see 1929), used protons from such an accelerator to bombard lithium nuclei. This made alpha particles come streaking out of the lithium nuclei.

The lithium nucleus is made up of three protons and four neutrons. When accelerated protons are fired at such a nuclei, a proton will occasionally enter a nucleus, giving it four protons and four neutrons. This instantly breaks up into two alpha particles containing two protons plus two neutrons. In other words: hydrogen + lithium yields helium + helium.

This was the first nuclear reaction produced by human beings as a result of bombardment with artificially accelerated particles. It was to be the first of many.

Radio Waves from Space

As radio came more prominently into use for communication and home entertainment, the problem of static (a crackling interference that made communication uncertain and music unpleasant) cried out for correction. Static had a number of causes, includ-

ing thunderstorms, nearby electric equipment, and aircraft passing overhead.

The Bell Telephone Company, which needed radio for ship-to-shore calls, among other things, set one of its employees, Karl Guthe Jansky (1905— 1950), to exploring the problem.

Jansky detected a new kind of weak static from a source that at first he could not identify. [t came from overhead and moved steadily. At first it seemed to Jansky that it must be the Sun, However, the source gained slightly on the Sun to the extent of 4 minutes a day. This is just the amount by which the vault of the stars gains on the Sun, so that the source must lie beyond the Solar System.

By the spring of 1932, Jansky had decided that the source was in the constellation of Sagittarius, the direction in which Shapley had placed the center of our galaxy (see 1918).

This represented the birth of radio astronomy, in which astronomers learned to receive and interpret radio waves rather than light waves.

Light waves, of course, are easily perceived by the retina of the eye and by photographic film. In 1932, however, perceiving radio

L e

waves with any precision was extremely difficult, for instruments were lacking. Therefore, the development of radio astronomy was delayed for some twenty years.

"
203,Electron Microscope,"['Davisson', 'Ernst August Friedrich Ruska']","['German', 'Ruska']","Davisson had demonstrated that electrons did indeed have their wave aspects (see 1927). Therefore they might be manipulated in much the same way that light waves were. They might be focused as light waves were in microscopes, for instance.

The sharpness with which tiny objects can be seen varies inversely with the wavelength of the viewing medium. The shorter the wavelength, the smaller the objects that can be made out. Since electron waves have a wavelength equal to that of X rays (but are much easier to focus than X rays), an electron niicroscope should be much more powerful than an ordinary optical microscope.

Electron waves cannot be focused by passing them through lenses, of course, but they can be focused by appropriate magnetic fields. The German electrical engineer Ernst August Friedrich Ruska (1906—

1988) built the first such instrument in 1932. It was a crude affair, to be sure, but it was capable of magnifying four hundred times. It was rapidly improved and became an essential item in the microscopists’ armory.

For his work, Ruska was belatedly awarded a share in the Nobel Prize for physics in 1986.

"
203,Prontosil,"['Ehrlich', 'Gerhard Domagk', 'Domagk', 'Domagk Hildegard', 'Domagk Prontosil', 'Domagk Hitler', 'Nobel Prizes', 'Carl']","['German', 'Ehrlich', 'Prontosil', 'Germans']","It had been a quarter-century since Ehrlich had found chemicals that attacked pathogenic microorganisms without damaging higher animals (see 1907), and since then the matter had languished.

It was clear that possible chemicals for the purpose lay among the dyes. Some dyes combined with cells and not with others, so surely there should be some dyes that combined with germs, killing them in the process, without affecting human cells.

The German biochemist Gerhard Domagk (1895— 1964) conducted systematic tests of new dyes synthesized since the time of Ehrlich to see if he could find something appropriate. One of them was a newly synthesized orange-red compound with the trade name Prontosil. In 1932 Domagk found that injections

of the dye had a powerful curative effect on streptococcus infection in mice.

As it happened, Domagk’s young daughter, Hildegard, had been infected by streptococci following the prick of a needle. When other treatment failed, Domagk injected large quantities of Prontosil. She recovered, and the world had another item in its chemotherapeutic armory. Prontosil was the forerunner of a large number of drugs that would cause many infectious diseases to lose their terrors.

For this discovery, Domagk was awarded the Nobel Prize for medicine and physiology in 1939. (Hitler refused to allow Germans to accept Nobel Prizes, however, because a Peace Prize had been awarded to Carl von Ossietzky [1889-1938], an imprisoned German pacifist. Domagk was therefore not able to aceept his prize formally till 1947.)

"
203,Ascorbic Acid,['Charles Glen King'],"['American', 'Greek', 'Lind']","In 1932 the American biochemist Charles Glen King (1896—1988) concluded his investigations of vitamin C, in the course of which he had isolated the vitamin and determined its structure. The substance had a

six-carbon molecule closely resembling those of the sugars and was named ascorbic acid, from Greek words meaning ‘'no scurvy.” The work of Lind (see 1747) was thus successfully concluded.

Two weeks later, SzentGyorgyi reported that his hexuronic acid (see 1928) was vitamin C, and he was right. This set off a violent and bitter controversy over precedence, which continued throughout the long lives of both men (each lived into his 90s).

"
203,Urea Cycle,"['Hans Adolf Krebs', 'Urea']",['British'],"As biochemists learned more and more about metabolism, it became clear that certain reactions fit into the pattern of a chain. Often the chain moved from its starting point back to that same point after a number of steps (forming a cycle), achieving some result with each turn of that cycle.

Thus the German-born British biochemist Hans Adolf Krebs (1900-1981) showed that when the amino acid arginine broke down and was reconstituted, it produced in the process a molecule of urea (so that it was called the urea cycle). Urea is the chief nitrogen-containing waste in mammals generally.

"
1933,Polaroid,"['Nicol', 'Edwin Herbert Land', 'Quinacrine Malaria', 'Quinine', 'Atabrin', 'Tadeus Reichstein', 'Walter Norman Haworth', 'Reichstein', 'Haworth']","['Iceland', 'Iceland Iceland', 'American', 'Iceland Germany', 'Swiss', 'English']","Nicol had made use of Iceland spar to produce an instrument that could be used in the study of polarized light (see 1829). Some substitute for Iceland spar that would be cheaper and easier to work with would have been welcome, but none was known.

To be sure, there were certain organic crystals that behaved as Iceland spar did, but they did not readily produce crystals of the proper size, and the crystals would have been far too fragile to work with in any case.

An American inventor, Edwin Herbert Land (b. 1909), had the idea that a single crystal was not neces-

sary. A myriad of tiny crystals would do if all were oriented in the same direction.

In 1932 he devised methods of aligning the crystals and of then embedding them in clear plastic. When set, this served nicely to keep them from drifting out of alignment and made their fragility irrelevant The result was given the trade name Polaroid, and it quickly replaced Iceland spar in scientific instruments. It also came to be used in automobile windshields and in spectacles.

. . Quinacrine

Malaria, a widespread discase in the tropics and perhaps the most debilitating

disease, on the whole, that was suffered by the human species, had been treated with quinine for three centuries (see 1642). Quinine comes from the bark of a tropical tree, however, and the supply to the industrial nations might easily be cut off in wartime. The search was on for a substitute

The first satisfactory substitute to be found was quin

crine (also called Atabrin), first developed in Germany and established as a successful antimalarial in 1932. When net too many years afterward, war did indeed disrupt the quinine supply, the existence of quinacrine made it possible for troaps to operate in tropical regions.

o Synthetic Vitamin C King and Szent-Gyérgyi had succeeded in determining the molecular structure of vitamin C (see 1932).

In 1933 the Polish-born Swiss chemist Tadeus Reichstein (b. 1897) succeeded in synthesizing the vitamin. Eventually other vitamins were analyzed and then synthesized. This meant that it was no longer necessary to obtain small quantities of vitamins from huge quantities of foodstuff. Instead they could be synthesized in the laboratory by the pound and even by the ton. Nor were the synthetic vitamins in any way different from the natural ones.

The ability to synthesize vitamins led to the development and popularity of vitamin pills, and when these became available at affordable prices, the nutritional problem of vitamins in the diet was diminished or even abolished.

The English chemist Walter Norman Haworth (1883—1950) independently synthesized vitamin C not long after Reichstein did,

and it was Haworth who gave the vitamin the name of ascorbic acid. For Haworth’s work on sugars generally, he was awarded a share in the Nobel Prize for chemistry in 1937,

"
1934,Molecular Beams,"['Maxwell', 'Otto Stern', 'Stern', 'Stern Absolute Zero Debye', 'Giauque', 'Giauque Giaugque']",['American'],"If gases are allowed to escape from a container through a tiny hole into a high vacuum, the escaping molecules meet virtually no molecules with which they can collide. They therefore form a tight beam of moving particles. These molecular beams are made up of particles that are neutral but that are themselves made up of charged particles: nuclei and electrons.

As a result, in accordance with Maxwell's equations (see 1865), they ought to behave like tiny magnets.

The German-born American physicist Otto Stern (1888-1969) studied these molecular beams for years and by 1933 had conclusively demonstrated that they did behave like magnets and in ways, moreover, that also supported

quantum mechanics. Furthermore, Stern showed that the molecular beams possessed wave aspects.

For his work on molecular beams, Stern was awarded the Nobel Prize for physics in 1943.

Approach to Absolute Zero

Debye and Giauque had suggested a way of approaching absolute zero more closely by using magnetic techniques (see 1925).

In 1933 Giauque managed to turn theory into practice. He imposed a magnetic field on gadolinium sulfate, then let it retreat into disorder on the removal of the field. The retreat into disorder required heat and absorbed it from the surrounding helium. In this way he lowered its temperature to 0.25 degrees above absolute zero. By the end of a year, others using the same technique had reached 0.0185° K.

For this and for later work on ultracold temperatures, Giaugque was awarded the Nobel Prize for chemistry in 1949.

"
1934,Neutron Bombardment,"['Chadwick', 'Fermi']",['Fermi'],"As soon as Chadwick had discovered the neutron (see 1932), it was clear that it would be an extremely useful tool for the bombardment of nuclei. Protons and alpha particles, being positively charged, are repelled by the positively charged nuclei, and much of their energy must be expanded in overcoming this repulsion. Neutrons, being uncharged, can drift into a nucleus even when low in energy.

When a neutron is absorbed by the nucleus of a

particular atom, the new nucleus may be unstable and may emit a beta particle, which by subtracting a negative charge converts a neutron in the nucleus into a proton. The net result is that the nucleus ends up with one proton more than it started with, which makes it an element that is one higher in atomic number.

In 1934 it occurred to Fermi (see 1926 and 1931) that it would be particularly interesting to bombard uranium atoms with neutrons and perhaps form atoms with an atomic number of 93, which are not known in nature.

The results of the bombardment turned out to be confusing, and the confusion was not straightened out for five years—but then with portentous results. For his work on neutron bombardment generally, Fermi was awarded the Nobel Prize for physics in 1938.

"
