ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL		
java-man	1890	Java man	Skeletal remains of an early human ancestor, Java Man, was found. These hominids were believed to be more primitive than Neanderthals and are now called Homo Erectus. This discovery added significant knowledge about human evolution.	Marie Eugène François Thomas Dubois	Netherlands	neanderthal-man	Science: Paleontology	The skeletal remains of Neanderthal man had been uncovered thirty-four years earlier (see 1856), but although the Neanderthals possessed some primitive features, they had brains as large as our own. A truly primitive human ancestor had not yet been discovered.By this time, though, the anthropoid apes were well known, and a Dutch paleontologist, Marie Eugène François Thomas Dubois (1858–1941), believed that primitive human beings would be found where the anthropoid apes now were: in sections of Africa and southeast Asia. He could not easily reach Africa, but the Indonesian islands were Dutch territory, and Dubois, who was serving in the army, managed		
spectroheliograph	1890	Spectroheliograph	The spectroheliograph was invented to photograph the Sun's spectrum in a small band of wavelengths, aiding in detailed study of its outer chemistry. It enabled the examination of specific wavelengths like calcium.	George Ellery Hale	United States	stellar-photography	Space	In 1890, American astronomer George Ellery Hale invented the spectroheliograph, a device allowing the photography of the Sun's light spectrum, especially calcium wavelengths. This innovation made it possible to study the Sun's outer chemistry in detail.		
surgical-gloves	1890	Surgical gloves	Rubber gloves were introduced in surgery to prevent infections and improve hygiene. These could be more easily sterilized than human hands without cutting down on the hand's ability to touch. This innovation marked the transition from antiseptic (killing germs) to aseptic (no germs at all) surgical techniques.	William Stewart Halsted	United States	antiseptic-surgery	Science: Medicine	In 1890, American surgeon William Stewart Halsted introduced the use of rubber gloves in surgery to prevent infections and dermatitis, marking the shift from antiseptic to aseptic surgery, a major advance in surgical practices.		
asteroid-photography	1891	Asteroid photography	Asteroid photography involves using a telescope to capture images of asteroids as the earth turns. This method allowed for more precise calculation of asteroid orbits and helped Halsted discover the 323rd known asteroid and then 500 more in his life.	Maximilian Franz Joseph Cornelius Wolf	Germany	asteroids, stellar-photography	Space	It had been almost a century now since the first asteroid was discovered by Piazzi (see 1802), and others had been discovered in astonishing numbers. By 1891, 322 asteroids had been discovered and their orbits calculated. Each one, however, had been discovered by eye; an object would be seen that looked like a rather dim star but would be shifting position against the starry background. If it moved at a certain rate, it was almost certainly an asteroid. In 1891 it occurred to a German astronomer, Maximilian Franz Joseph Cornelius Wolf (1863-1932), to make the discoveries by photography. If a telescope is set to turning in time with the movement of the vault of the sky (a movement that arises because of the rotational motion of the Earth), then all the stars in the telescopic view will show up on the film as sharp points. An asteroid, however, will move with respect to the stars and so will show up as a small dash. The object responsible for the dash can then be put under observation and its orbit eventually calculated. In this fashion, Wolf discovered the 323rd asteroid, which he named Brucia, and went on to discover others. In the course of his life, he discovered 500 asteroids. Nowadays, the orbits of nearly 2000 asteroids are known, and it is estimated that there may be as many as 100,000 asteroids that are at least a mile across.		
gravitational-and-inertial-mass	1890	Gravitational and inertial mass	Gravitational mass relates to the intensity of an object’s gravitational field required for a given distance, whereas inertial mass is defined by the resistance to change in velocity. Through careful measurements, these two kinds of mass were found to be identical. This led to a new way of looking at gravity.	Roland Eötvös	Hungary	laws-motion	Science: Physics	Newton had defined mass in terms of the amount of acceleration produced in a body through the application of a force of a given magnitude. This is called the inertial mass, because the greater the mass of a body, the less acceleration a given force produces and the greater the inertia (the resistance to a change in velocity). Newton also found that the intensity of an object’s gravitational field at a given distance depended upon its mass. That is the gravitational mass. These two kinds of mass were determined by two entirely different kinds of observations and would seem to have no necessary connection, yet the mass determined by inertial effects always seemed to be the same as the mass determined by gravitational effects. A Hungarian physicist, Roland Eötvös (1848-1919), saw that if the gravitational mass and the inertial mass were truly identical, then objects in a given gravitational field would always drop (in a vacuum) at the same rate, regardless of mass.		
fundamental-unit-of-electricity	1891	Fundamental unit of electricity	The theory proposed that electricity exists in fundamental particles called electrons, which carry electric charges. This theory had yet to be proven.	George Johnstone Stoney	Ireland	ionic-dissociation	Science: Physics	Arrhenius's theory of ionic dissociation (see 1884) made it look as though atoms or groups of atoms could carry electric charges. What's more, it looked as though atoms or atom groups would carry charges of different sizes that were related to each other in ratios of exact whole numbers. An Irish physicist, George Johnstone Stoney (1826-1911), suggested that electricity existed in fundamental particles, as matter did, and that all these particles carried the same electric charge. A particular atom or atom group would then carry one of these particles, or two or three, and that was why the ratios would be in whole numbers. He suggested in 1891 that the fundamental particle be called an 'electron'. This didn't seem to make much of an impression at the time, but four years later it was to come into its own.		
carborundum	1891	Carborundum	Carborundum (or silicon carbide) is a compound of silicon and carbon created by heating carbon strongly with clay. It proved to be a harder material than anything else at the time and became very useful in industry as an abrasive.	Edward Goodrich Acheson	United States	diamond	Science: Chemistry	People from the earliest times have needed abrasives; that is, hard substances that can grind down softer substances, removing unevenness and imparting a smooth polish to the surface. The diamond is made up of carbon atoms symmetrically placed in tetrahedral patterns, and they are very close to each other as well since the carbon atoms are so small. Therefore, the atoms in diamonds cling together more tightly than in any other substance, so that diamond is by far the hardest material known. Perfect diamonds are too beautiful to use for anything other than show and ornamentation, but imperfect diamonds, or diamond dust, can be used as abrasives. Even imperfect diamonds, however, are in short supply. Graphite is also made of carbon atoms, but in a different, looser arrangement. It is so far from being an abrasive that it can be used as a lubricant. By Le Châtelier's principle (see 1888), however, if graphite is placed under great pressure, its atoms should take up a more compact arrangement and it should become diamond (as it does under great pressure deep underground). Various scientists had tried to supply the necessary pressure, but up to this time none had succeeded. An American inventor, Edward Goodrich Acheson (1856-1931), made the attempt too. He did not succeed in forming diamond either, but in 1891, he found that when he heated carbon strongly with clay, he obtained what he eventually found to be a compound of silicon and carbon, or silicon carbide. Silicon is much like carbon in its properties, so that the atoms of silicon carbide have a diamond arrangement with a silicon atom taking the place of every other carbon. Silicon is a larger atom and doesn't hold together quite as tightly as carbon atoms do, so silicon carbide is not quite as hard as diamond. Still, it was harder than anything else known at the time, and much cheaper than diamond. Acheson called the new compound carborundum, and it became extremely useful in industry as an abrasive.		
glider-improved	1891	Improved gliders	The first human-carrying gliders were improved with curved wings, proving superior to flat wings for gliding. This advancement led to the increased popularity of gliding and paved the way for the invention of the airplane.	Otto Lilienthal	Germany	glider	General	Four decades had passed since Cayley had built the first glider capable of carrying a human being (see 1853). Now a German aeronautical engineer, Otto Lilienthal (1848-1896), made them into things of grace and ability. As early as 1877 he had shown that curved wings were superior to flat wings as far as gliding was concerned. In 1891 he launched himself on his first glide. He died a few years later in a crash landing, but he made gliding popular, and it turned out to be not too long a step from a glider to an airplane.		
amalthea	1892	Amalthea	A small satellite of Jupiter, named Amalthea, was discovered to be small close to the planet, analogous to the discoveries of Mars small moons. It was the last Jovian satellite identified without the use of photography.	Edward Emerson Barnard	United States	jupiter-moons, martian-satellites	Space	Galileo had discovered the four large satellites of Jupiter (see 1610). In the interval since, no other Jovian satellite had been discovered, even though Saturn, a smaller and more distant planet, was known to have eight satellites by this time. The American astronomer Edward Emerson Barnard (1857–1923) reasoned, as Hall had in connection with Mars (see 1877), that a fifth satellite, if it existed, would have to be small and close to Jupiter. He searched the neighborhood of Jupiter and in 1892 spotted a satellite only 112,500 miles from Jupiter’s center and only 68,000 miles above Jupiter’s cloud surface. We now know it to be only 125 miles in diameter. It was variously called Barnard’s satellite and Jupiter V (because it was the fifth satellite to be discovered), but the French astronomer Camille Flammarion (1842–1925) suggested it be named Amalthea, after the goat (or nymph) that served as wet-nurse for Jupiter (Zeus) during the god’s infancy. Amalthea was the twenty-first satellite to be discovered and the last to be discovered without photography.		
light-pressure	1892	Light pressure	The pressure exerted by light, predicted by Maxwell’s equations, was measured using light mirrors in a vacuum. This discovery provided experimental evidence for the pressure of light.	Pyotr Nikolayevich Lebedev	Russia	maxwells-equations, geissler-tubes	Science: Physics	From Maxwell’s equations (see 1865) one could deduce that light ought to exert a pressure, albeit a very feeble one. The Russian physicist Pyotr Nikolayevich Lebedev (1866–1912) checked the point by making use of very light mirrors in a vacuum. In 1892 he was able to observe and measure the pressure exerted by light.		
fitzgerald-contraction	1892	Fitzgerald contraction	An explanation for the negative results of the Michelson-Morley experiment was proposed, suggesting that distances contract with speed. This theory influenced the understanding of the behavior of light and motion but seemed unsatisfying.	George Francis FitzGerald	Ireland	michelson-morley-experiment	Science: Physics	For five years the negative results of the Michelson-Morley experiment had puzzled physicists. The Irish physicist George Francis FitzGerald (1851–1901) offered an explanation in 1892. He suggested that distances contracted with speed. If a light source sped along toward point A at a certain velocity, then the light it emitted in the direction of that velocity had to cover a slightly smaller distance to reach point A than light emitted in other directions. The faster the source moved, the shorter the distance light would have to travel to reach a point that would seem to be a fixed distance away to a motionless observer. That change in distance would keep the light moving in different directions in phase.		
dewar-flask	1892	Dewar flask	A double-walled flask with a vacuum between the walls was constructed to help transport heat for low-temperature work. It became commercially known as thermos bottles for keeping drinks hot or cold.	James Dewar	England	black-bodies	Science: Physics	Dewar (see 1889) in 1892 constructed a double-walled flask with a vacuum between the walls. He was interested in low-temperature work, and very cold liquids such as liquid nitrogen, if kept in such a double-walled flask, would gain heat from the outside only slowly. Dewar cut down on transport by radiation even more by covering the interior of the double walls with a mirror surface so that radiation would be reflected rather than absorbed. These were called Dewar flasks and proved indispensable to low-temperature work. They also entered the commercial home market, where they sold as thermos bottles for keeping cold drinks cold and hot drinks hot.		
psychoanalysis	1893	Psychoanalysis	Psychoanalysis involved using free association, allowing patients to talk randomly with minimal guidance, which helped reveal repressed matters. This method showed advantages over hypnotism in treating mental diseases.	Breuer and Freud	Austria	unconscious-mind, hypnotism	Science: Psychology	Breuer had started to use hypnotism in the treatment of mental diseases such as hysteria (see 1880). The method had later been taken up by Freud (see 1884), but he eventually abandoned hypnotism for free association, allowing the patient to talk randomly and at will with a minimum of guidance. In this fashion, the patient was gradually put off guard, and matters came to be revealed that in ordinary circumstances would have been kept secret from the patient's conscious mind. The advantage of this method over hypnotism		
cattle-fever	1893	Cattle fever	Texas cattle fever was identified as being caused by a protozoan parasite (just like malaria) and spread by blood-sucking ticks. This discovery provided the first clear evidence that arthropods could transmit diseases.	Theobald Smith	United States	malaria	Science: Biology	In 1893 the American pathologist Theobald Smith (1859-1934) reported that Texas cattle fever was caused by a protozoan parasite, as had been found to be true of malaria thirteen years before. Smith went on to show that the parasite was spread from infected animals to healthy ones by blood-sucking ticks. This was the first definite indication that disease could be spread by an arthropod. Ticks were among the arachnids (the spider family), but it would soon be shown that blood-sucking insects could also be responsible for the spread of disease.		
wavelengths-and-temperature	1893	Wavelengths and temperature	Wilhelm Wien demonstrated that the peak wavelength of radiation emitted by an object varies inversely with its absolute temperature. This relationship helps explain the color changes in heated objects and contributes to our understanding of thermal radiation.	Wilhelm Wien	Germany	heat-and-radiation	Science: Physics	At any temperature above absolute zero, objects give off electromagnetic radiation. In general, very long wavelengths are rare, as are very short wavelengths. Somewhere in between there is a peak wavelength, which is radiated to a greater extent than any other. The German physicist Wilhelm Wien (1864-1928) demonstrated this by actually measuring the wavelengths. In 1893 he was able to show that the peak wavelength varies inversely with absolute temperature. As the temperature rises, not only does the total amount of radiation increase, in line with Stefan's finding (see 1879), but the peak wavelength decreases.  Thus, warm bodies radiate chiefly in the infrared, of which we are unaware except as a feeling of warmth. As temperature goes up, the peak slides toward the visible red, and eventually enough red is produced to give the body a deep red glow. It is then "red-hot." With further temperature rise, the red brightens, grows orange, yellowish, and then white, by which time the peak is in the yellow and all the wavelengths of light are well represented, as in the case of the Sun.  Some stars are so hot that the peak wavelength is in the ultraviolet. Such stars gleam with an intense blue-white light.  For his work on radiation, Wien received the Nobel Prize in physics in 1911.		
alternating-current-theory	1893	Alternating current theory	Developed the mathematical details essential for designing efficient alternating current equipment. His work facilitated the widespread adoption of alternating current over direct current in electrical systems.	Charles Proteus Steinmetz	United States	alternating-currents, imaginary-numbers	Science: Engineering	Tesla had made alternating current useful (see 1883). By 1893 a German-born American electrical engineer, Charles Proteus Steinmetz (1865-1923), had worked out the intricacies of alternating current circuitry in complete mathematical detail, making use of complex numbers. This made it possible to design alternating current equipment with increased efficiency. Steinmetz's mathematics spread among the electrical engineering profession and completed the victory of alternating current over direct current. (The house current we draw on whenever we plug an electrical device into a wall socket is invariably alternating current.)		
arctic-ocean	1894	Arctic ocean	A strong ship named Fram was designed to withstand Arctic sea ice and carry explorers close to the North Pole. The expedition got closer to the Pole than anyone before.	Nansen	Norway	greenland-ice-cap, ironclad-warships	Geography	Nansen, who had crossed Greenland (see 1888), now made ready to explore the Arctic Ocean. He designed a strong ship that would be lifted, rather than crushed, when the ocean about it froze. He named the ship Fram (Forward) and set sail in 1893 with thirteen men aboard. His idea was to let himself be frozen in by the sea ice and carried along with it in its slow swirl about the Arctic Ocean, perhaps reaching the North Pole itself. He remained on the ship for a year and a half, and although he never reached the North Pole, he got closer to it (86.23 degrees North) than anyone before him ever had.		
argon	1894	Argon	The atomic weight of nitrogen was found to vary based on its source. To resolve this inconsistency Ramsay used the same technique Cavendish used to discovering hydrogen. The result was a verifiably new gas, proven through spectrometry. He called this new element argon ("inert" in Greek).	John William Strutt and William Ramsay	Scotland	spectral-lines-and-elements, periodic-table-of-the-elements	Science: Chemistry	Ever since Prout had suggested that all atoms were built up of hydrogen atoms (see 1815), chemists had been checking the atomic weights of various elements with greater and greater accuracy. The fact that so many atomic weights were not multiples of hydrogen's seemed to disprove Prout's hypothesis. Twelve years before, for instance, the British physicist John William Strutt, Lord Rayleigh (1842-1919), had shown that the atomic weight of oxygen, although usually considered to be 16 times the atomic weight of hydrogen, is actually 15.882 times the atomic weight of hydrogen. Rayleigh went on to measure the atomic weight of nitrogen and then encountered a puzzle. Whereas oxygen always had the same atomic weight no matter how it was prepared, nitrogen did not. Nitrogen prepared from the atmosphere consistently showed a slightly higher atomic weight than nitrogen prepared from a variety of nitrogen-containing compounds. Rayleigh could not find a suitable explanation for this and wrote a letter to the journal Nature, asking for suggestions. The British chemist William Ramsay (1852-1916) rose to the challenge. He remembered having read that Cavendish (see 1766) had tried to combine the nitrogen of air with oxygen and had found that a small bubble of gas remained behind, which would simply not combine with oxygen. Cavendish Ramsay repeated the experiment and found himself with a small bubble of gas left over. He studied the spectral lines it emitted and found them to be in positions that fitted no known element. This gaseous element made up about 1 percent of the atmosphere and was completely inert, not reacting with any substance. It was named argon, which means 'inert.		
x-rays	1895	X-rays	X-rays were discovered unintentionally while working with cathode-ray tubes, leading to the observation of radiation penetrating matter. The discovery spurred significant interest and further research on electromagnetic radiation.	Wilhelm Röntgen	Germany	canal-rays	Science: Physics	On November 5, 1895, he set his cathode-ray tube to working, and in the dimness, a flash of light that did not come from the tube caught his eye. A sheet of paper coated with barium platinocyanide (one of the chemicals he was planning to use) was glowing. The glow ceased when the cathode-ray tube was turned off. The coated paper glowed even in the next room once the cathode-ray tube was turned on. Radiation was clearly emerging from the tube when the cathode rays were streaming, and was penetrating matter to some extent Röntgen didn't know what the radiation might be, so he referred to it as X rays, X being the usual symbol for an unknown quantity in mathematics. He published his findings on December 18, 1895.		
cathode-ray-particles	1895	Cathode ray particles	It was demonstrated that cathode rays are streams of negatively charged particles and not waves, leading to a better understanding of their nature. This discovery was crucial in confirming the particle nature of cathode rays.	Jean-Baptiste Perrin	France	x-rays	Science: Physics	In 1895, however, a French physicist, Jean-Baptist Perrin (1870-1942), showed that when cathode rays were made to impinge upon a cylinder, the cylinder gradually gained a large negative charge. That finally settled the matter. Cathode rays were streams of negatively-charged particles, and no one has doubted it since.		
velocity-and-mass	1895	Velocity and mass	Research indicated that mass increases with velocity, posing that at the speed of light, mass becomes infinite, implying the speed of light as an absolute maximum. This theory contributed significantly to the understanding of the relationship between velocity and mass.	Hendrik Antoon Lorentz	Netherlands	fitzgerald-contraction, michelson-morley-experiment	Science: Physics	The negative results of the Michelson-Morley experiment (see 1887) still attracted the attention of physicists. The Dutch physicist Hendrik Antoon Lorentz (1853-1928) came to the same conclusions that FitzGerald had come to concerning the shortening of distance with speed (see 1892) but went farther. It seemed to Lorentz that mass would have to increase with velocity and do so at a steadily increasing rate. At a speed of 160,000 miles per second, the mass of any object should have doubled, and at the speed of light (a little over 186,000 miles per second), it should become infinite. This idea made the speed of light appear to be an absolute maximum. As a result of Lorentz’s work,		
helium-on-earth	1895	Helium on earth	Helium was identified on Earth after being previously detected only in solar observations. Ramsey extracted it out of a uranium mineral. Like argon, this element didn't quite fit into the existing periodic table.	William Ramsay	Scotland	periodic-table-of-the-elements, argon	Science: Chemistry	Argon, discovered the year before by Rayleigh and Ramsay (see 1894), did not fit in with any existing family, but it seemed to be in the neighborhood of chlorine and potassium as far as its atomic weight was concerned. Since the periodic table was based largely on valence (see 1852), it made sense to put argon between chlorine and potassium. Chlorine and potassium each had a valence of 1, and since argon formed no combinations with other atoms at all, it had to have a valence of 0. The valence progression of 1, 0, 1 made sense, and argon would be the first member of a new family of elements of 0 valence. In that case, where were the others? Ramsay made it his business to look for them. In 1895 he learned that in America, samples of a gas taken for nitrogen had been obtained from a uranium mineral. That looked hopeful, for the 0-valence gases could be mistaken for the rather inert nitrogen but for no other gas. Ramsay repeated the work with a uranium mineral and got a gas that resembled nitrogen in its inertness. He tested the gas spectroscopically, however, and it did not produce the spectral lines of nitrogen. Instead it produced the spectral lines that Ramsay recognized as those detected by Janssen in sunlight (see 1868). Janssen’s solar element had been named helium, and now Ramsay had identified it on Earth, and found that it would lie between hydrogen and lithium in the periodic table. As to what helium might be doing in the uranium mineral, that was a puzzle, but the answer was not long in coming.		
curie-temperature	1895	Curie temperature	It was discovered that magnetism in ferromagnetic materials, such as iron, disappears at a specific temperature, known as the Curie temperature. This temperature varies for different metals, with iron losing its magnetism at 770°C.	Pierre Curie	France	electromagnetism	Science: Physics	People must have noticed that if a magnet was made red hot it would lose its magnetism. Curie (see 1880) showed that this was not a gradual effect. There was a specific temperature (now called the Curie temperature) at which the magnetism of iron disappeared. This happens to be 770° C. Other metals that have the same strong response to magnetism that iron does (and are therefore said to be ferromagnetic, from the Latin word for 'iron') also have Curie temperatures. For nickel it is 358° C, and for cobalt, 1131° C.		
radio-antennas	1895	Radio antennas	With a new detector, Branly could detect radio waves 150 yards from the source. Lodge improved it and demonstrated sending and receiving morse code, and then Popov and Marconi added antennas to strengthen the signal.	Edouard-Eugène Branly and others	France and others	radio-waves	Science: Physics	Once Hertz had demonstrated the existence of radio waves (see 1888), the possibility of using such waves in signaling across long distances occurred to a number of people. If one could use such radiation for the purpose, one could do away with total dependence on telegraph wires and cables. Indeed, the British call communications by radio waves wireless telegraphy or for short wireless. Americans call it radiotelegraphy or for short radio. Of course, to make such communication possible, one needs a far better detector than the simple loop Hertz used. In 1890 a French physicist, Edouard-Eugène Branly (1844-1940), invented a detector that consisted of a container of loosely packed metal filings. It ordinarily conducted little current, but it conducted quite a bit when radio waves fell upon		
uranium-radiations	1896	Uranium radiations	While studying the fluorescent substance potassium uranyl sulfate, Becquerel thought sunlight would make the crystal fluoresce and emit x-rays. He accidentally found that no sunlight was needed, and that the crystal was radiating x-rays on its own.	Antoine-Henri Becquerel	France	x-rays, dry-plates	Science: Physics	The discovery of X rays by Röntgen (see 1895) fascinated a French physicist, Antoine-Henri Becquerel (1852-1908), who had been working on fluorescent substances as his father had before him. He wondered if perhaps the radiation given off by fluorescent substances might include X rays. A fluorescent substance both he and his father had		
dietary-deficiency-diseases	1896	Dietary deficiency diseases	Eijkman discovered that beriberi was a dietary deficiency disease caused by the absence of a substance found in the hulls of unpolished rice. This discovery was significant as it corrected the previous assumption that beriberi was a germ disease.	Christiaan Eijkman	Netherlands	scurvy, germ-theory-of-disease	Science: Medicine	People in the Dutch East Indies commonly suffered from beriberi, which produced weakness and death. Naturally it was assumed to be a germ disease, since Pasteur (see 1862) and others had been so successful at combating disease on that assumption. However, no one could find the germ that caused the disease. A Dutch physician, Christiaan Eijkman (1858-1930), who had gone to the East Indies to study the disease, was nonplussed. But then an ailment broke out in 1896 among the chickens being used at the laboratory for bacteriological researches. The chicken polyneuritis showed symptoms similar to beriberi, and Eijkman was busily studying the disease and checking on its contagiousness—when it suddenly disappeared and all the chickens got well. Eijkman investigated and found that during the period when the chickens had had the disease, they had been feeding on rice ordinarily meant for the human patients. The disease disappeared when a new cook put them back on commercial chicken feed. Eijkman found he could produce the chicken disease at will when he fed the chickens polished rice. By feeding them unpolished rice, he cured them. Eijkman was the first to correct a specific disease by diet since Lind had connected citrus fruits and scurvy (see 1747). Although Eijkman missed the point at first, it became clear that beriberi was a dietary deficiency disease. It was caused by the absence of some substance (present in the hulls of unpolished rice and not present in polished rice from which the hulls had been removed) that seemed necessary to health in small traces. For this discovery, Eijkman received a share of the Nobel Prize in physiology and medicine in 1929.		
light-and-magnetism	1896	Light and magnetism	Maxwell thought that light was electromagnetic radiation, but whatever charge doing the oscillating had yet to be found. Lorentz and his student Zeeman suggested there might be electric charges within the atom, and found them by placing a strong magnetic field near an atom, confirming their spectral lines had changed. 	Hendrik Antoon Lorentz and Pieter Zeeman	Netherlands	ionic-dissociation, radio-waves, maxwells-equations	Science: Physics			
ferments-and-enzymes	1896	Ferments and enzymes	Discovered that enzymes from yeast could function outside of the living cells, successfully fermenting sugar. From this point on, the term enzymes was applied to all biochemical catalysts, in or out of a cell, and another bastion of vitalism had fallen	Eduard Buchner	Germany	enzyme, mesmerism	Science: Chemistry, Biology	In 1896 a German chemist, Eduard Buchner (1860–1917), wondered if the enzymes in yeast would work if they were extracted from the living cell. To do this, he ground up yeast cells with sand until not one of them was left alive. He then filtered the material, obtaining a clear, cell-free liquid. He added sugar to preserve it against bacterial contamination and found that before long carbon dioxide was forming vigorously. The clear extract from the yeast was doing the job of fermenting sugar just as the intact cells would have, and Buchner had demonstrated the opposite of what he had expected. From this point on, the term enzymes was applied to all biochemical catalysts, in or out of a cell, and another bastion of vitalism had fallen. For this work, Buchner was awarded the Nobel Prize in chemistry in 1907. From this point on, the term enzymes was applied to all biochemical catalysts, in or out of a cell, and another bastion of vitalism had fallen.		
acoustics	1896	Acoustics	Studied and solved the issue of sound clarity in a new lecture room with excessive reverberation. This led to the foundation of architectural acoustics and methods for designing auditoriums with clear sound.	Wallace Clement Ware Sabine	United States	mach-number, phonograph	Science: Physics	In 1896 an American physicist, Wallace Clement Ware Sabine (1868–1919), completed the study of a new lecture room that had been built at Harvard University the previous year. The lecture room had a flaw; the lecturer could not be heard because of excessive reverberation. Sabine had investigated every angle of the problem, even photographing sound waves that were made visible by the changes in light refraction they produced. As a result of his studies, Sabine founded the science of architectural acoustics. In the process he showed how to design a hall that would make the sounds of voice and music clear. For the purpose, he made use of mathematical equations that related absorptivity of sound by various materials and the volume of the room to the amount of reverberation.		
electron-as-subatomic-particle	1897	Electron as subatomic particle	Demonstrated that cathode rays are made of negatively charged particles which could be deflected by an electric field. This was the first discovery of a subatomic particle, smaller than an atom.	Joseph John Thomson	England	cathode-ray-particles, laws-of-electrolysis, fundamental-unit-of-electricity	Science: Physics	By now Perrin's work had convinced everyone that cathode rays consisted of negatively charged particles (see 1895). The last bit of evidence was supplied by the British physicist Joseph John Thomson (1856-1940), who showed that cathode rays could be deflected not only by a magnet but by an electric field. From the amount of the deflection, Thomson could work out the ratio of the electric charge of the cathode ray particle to its mass. This ratio turned out to be quite high, so that either the charge was high or the mass was low or both. Thomson supposed that the charge would be the unit charge worked out from Faraday's laws of electrolysis (see 1832). If so, the mass of the cathode ray particle would be only a small fraction of the hydrogen atom's, the smallest atom known. (We now know that the particle has a mass only 1/1837 of hydrogen's.) Thomson called the particle the electron, making use of Stoney's suggested name for the fundamental unit of electric charge (see 1891), since he suspected that the particle carried that fundamental unit. And to be sure, no smaller electric charge has actually been observed since then. The electron was the first subatomic particle (particle smaller than an atom) to be discovered.		
uranium-radiation-quantified	1897	Uranium radiation quantified	Used piezoelectricity to measure the intensity of radiation given off by uranium compounds. She found that the intensity was proportional to the amount of uranium, suggesting that radiation comes directly from the uranium atom, not the compound.	Marie Sklodowska Curie	France	piezoelectricity, uranium-radiations	Science: Physics			
alpha-rays-and-beta-rays	1897	Alpha rays and beta rays	Discovered two types of radiation emitted by uranium, which he named alpha rays and beta rays. Alpha rays are positively charged and more massive than beta rays, which are negatively charged.	Ernest Rutherford	England	uranium-radiations	Science: Physics	The radiations given off by uranium were of more than one kind. Some were deflected only slightly in a direction that indicated them to be positively charged. Some were deflected much more sharply in the opposite direction and were therefore negatively charged. Both had to consist of streams of particles, and the particles of the former were clearly the more massive.		
nickel-as-catalyst	1897	Nickel as catalyst	Found that powdered nickel could act as a catalyst to convert ethylene to ethane, which helped in creating edible fats from inedible plant oils. Nickel was much cheaper than platnium which had previous been used for this purpose.	Paul Sabatier	France	platinum-as-catalyst	Science: Chemistry	The metal nickel combines with carbon monoxide to form a compound that is liquid at ordinary temperatures and boils at 43°C. In 1897 the French chemist Paul Sabatier (1854–1941) wondered if other volatile nickel compounds could be formed by combining the metal with other gases. He chose ethylene for his attempt, since like carbon monoxide, it has a double bond. He failed, but found that some of the ethylene had, in the presence of nickel, changed to ethane. The double bond in ethylene had thus added two hydrogen atoms. That happens easily if a metal such as powdered platinum is used as a catalyst. Sabatier had now shown that powdered nickel, which was much cheaper, would do the same. Sabatier went on to perfect the technique, and nickel catalysis went on eventually to make possible the formation of edible fats, such as margarine and shortenings, from inedible plant oils, such as cotton-seed oil. For this work Sabatier was awarded a share of the Nobel Prize in chemistry in 1912.		
mosquitoes-and-malaria	1897	Mosquitoes and malaria	Ronald Ross discovered the malarial parasite in the anopheles mosquito, highlighting mosquitoes as disease vectors. This finding paved the way for malaria prevention by targeting mosquito breeding sites and using mosquito netting.	Ronald Ross	England	cattle-fever, malaria	Science: Medicine	Smith’s discovery of the manner in which ticks served to communicate disease (see 1893) turned the minds of pathologists in the direction of sighting insects as possible disease-spreaders. The British physician Ronald Ross (1857–1932) devoted himself to collecting, feeding, and dissecting mosquitoes until in 1897 he discovered the malarial parasite that had been identified by Laveran (see 1880) in the anopheles mosquito. This meant that malaria might well be fought by wiping out the breeding places of these mosquitoes, by making use of mosquito netting, and so on. For this, Ross received the Nobel Prize in physiology and medicine in 1902.		
oscilloscope	1897	Oscilloscope	The oscilloscope was created by modifying the cathode-ray tube to display oscillations caused by varying electromagnetic fields. It laid the groundwork for modern television screens.	Karl Ferdinand Braun	Germany	cathode-rays	Science: Physics	In 1897 a German physicist, Karl Ferdinand Braun (1850–1918), modified the cathode-ray tube in such a way that the spot of green fluorescence formed by the stream of speeding particles shifted in accordance with the electromagnetic field set up by a varying current. The device was called an oscilloscope, because the spot could follow and reveal the oscillations of the field. Braun's device was the ancestor of the present-day television screen.		
large-refracting-telescope	1897	Large refracting telescope	A large refracting telescope with a 40-inch lens was constructed, reaching the limits of the arts. It was the largest of its kind and marked the limits of refracting telescopes.	Clark	England	telescope	Space	In 1897 Clark, the discoverer of Sirius's dim companion (see 1844), supervised the construction of a refracting telescope with a lens 40 inches across. It was the largest and best refractor built up to that time, but it had reached the limits of the art. No larger refractor has been built since then, or is likely to be built. All larger telescopes are of the reflecting variety that Newton invented (see 1668).		
diesel-engine	1897	Diesel engine	The diesel engine was perfected to ignite fuel through heat generated by compression, allowing for the use of safer, higher-boiling fuels. Its design enabled its use in heavy transport vehicles.	Rudolf Diesel	Germany	gas-laws, high-pressure, four-stroke-engine	Science: Engineering	The four-stroke engine invented by Otto (see 1876) used low-boiling gasoline for fuel and ignited the vapor-air mixture with an electric spark. A German inventor, Rudolf Diesel (1858–1913), tried to eliminate the complexities that resulted from running an electrical system in conjunction with an engine. By 1897 he had perfected a Diesel engine that ignited the vapor-air mixture by the heat developed through compression. This allowed him to use higher-boiling fuel such as kerosene, which was cheaper and less inflammable (hence safer) than gasoline. However, the compression had to be great, so the Diesel engine had to be considerably larger and heavier than the Otto engine if the higher pressures were to be brought about and maintained. Diesel engines therefore found their use in heavy transport vehicles such as trucks, buses, locomotives, and ships.		
