ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL	
jacquard-loom	1801	Jacquard loom	The Jacquard Loom revolutionized the weaving process by allowing intricate patterns to be woven automatically. It used punched cards to control the loom's needles, enabling it to create complex textile designs with less manual labor.	Joseph-Marie Jacquard	France	flying-shuttle	Design	The Jacquard Loom was an innovation that allowed textiles to be woven with complex patterns without requiring the intensive manual labor that was traditionally necessary. This machine used a series of punched cards, which corresponded to a particular pattern. When these cards were used in the loom, needles would pass through the holes to form the desired pattern in the textile. This automation of pattern weaving not only increased production efficiency but also allowed for the creation of much more intricate designs than were previously feasible by hand weaving.	
discovery-of-ceres	1801	Discovery of Ceres	Ceres was discovered by an Italian astronomer when he serendipitously spotted the object while working at an observatory, and it was notable for being the first known dwarf planet located in the asteroid belt between Mars and Jupiter. This discovery adhered to the predictions made by Bode's law regarding planetary distances.	Giuseppe Piazzi	Italy		Space	Ceres was discovered on January 1, 1801, fitting within the framework of Bode's law, which suggested the placement of a planet between Mars and Jupiter. Ceres, though smaller than Mars and more slowly moving, however, turned out to be a dwarf planet and not a full-sized planet as Johann Elert Bode's law had predicted, marking an important contribution to astronomical understanding at the time.	
invertebrates	1801	Invertebrates	Up to now, less familiar and more diverse animals without backbones (invertebrates) were less carefully considered. Linnaeus had lumped them all into the class Vermes (Latin for 'worms"). Lamarck divided the invertebrates into groups like the crustaceans, echinoderms, and distinguished between the eight-legged arachnids and the six-legged insects.	Jean-Baptiste de Lamarck	France	taxonomy	Science	Linnaeus (see 1735) and others in the past three- quarters of a century had elaborated the taxonomy of vertebrates (those animals with backbones-mammals, birds, reptiles, amphibia, and fish) in considerable detail. The less familiar and more diverse animals without backbones (invertebrates) were less carefully considered. Linnaeus had lumped them all into the class Vermes (Latin for " 'worms"). The French naturalist Jean-Baptiste de Lamarck (1744-1829) tackled the problem in publications beginning in 1801. He divided the invertebrates into groups and created such di- visions as the crustaceans(crabs and lobsters) and echinoderms (starfish andsea urchins). He distin-guishedbetween the eight- legged arachnids (spiders and scorpions) and the six-legged insects. In fact, La- marck was the first to usethe terms vertebrate and in-vertebrate, and he popular- ized the term biolog y for the study of life	
ultraviolet	1800	Ultraviolet	This discovery revealed that the spectrum of light extends beyond the visible violet end, where darkening paper soaked in silver nitrate suggested a new type of radiation termed 'ultraviolet' because it is beyond the visible spectrum. The discovery showcased the existence of light that is not visible to the naked eye but has measurable effects.	Johann Wilhelm Ritter	Germany	infrared-radiation	Science	In 1800, an individual working on the study of the spectrum of light realized that soaked paper in silver nitrate darkened rapidly when exposed to the spectrum's end beyond the visible violet spectrum. The effect was less pronounced at the red end of the spectrum, leading to the conclusion that there is radiation beyond the visible spectrum termed 'ultraviolet', indicating its position beyond the violet light. n founding the modrn science of invertebrate zoology, Lamarck began the process of understanding the importance of inverte- brate life. All the verte- brates are included in but a single phylum, while there are about twenty-two phyla of invertebrates. The number of species of insects alone far exceeds the number of species of vertebrates; indeed, it exceeds the number of species of all other animals combined.	
light-waves	1801	Light waves	Young's famous double slit interference experiments with light confirmed its wave-like behavior, demonstrating that light can exhibit patterns of interference similar to waves in water or sound, which supported the wave theory of light.	Thomas Young	England	light-diffraction, light-as-wave	Science	In 1801, an English physicist started a series of experiments that showed light could exhibit wave-like properties through interference patterns. By allowing two beams of light to overlap and interfere with each other, it was proven that light consists of waves of different lengths, which reinforced the argument that light is a wave and not just a particle, challenging previously held notions about the fundamental nature of light.	
discovery-of-niobium	1801	Discovery of niobium	An English chemist discovered a new element within a mineral from the British Museum, initially calling it Columbium (after Columbia, a name for the US), but it later became officially known as niobium. The element's establishment was contentious due to national pride and scientific debate.	Charles Hatchett	England		Science	Charles Hatchett analyzed a mineral from the British Museum, which was sent there from Connecticut, and identified a new element in 1801. There was a dispute over whether the substance was a new element, but it was finally accepted and officially named niobium, with Hatchett initially calling it columbium in honor of the 'Columbia' (a historical name for the United States). Despite the initial naming, the United States lost the honor of having the element named after it.	
asteroids	1802	Asteroids	This discovery refers to the identification of new celestial bodies between Mars and Jupiter, which were distinct from planets due to their smaller size. They were initially named after Greek deities and later became known as the asteroid belt.	Heinrich Wilhelm Matthias Olbers	Germany		Space	In 1802, following the discovery of Ceres in 1801, German scientists led by Olbers found another celestial body between Mars and Jupiter, naming it Pallas. Further discoveries led to the identification of additional bodies, such as Athena in 1804, and Vesta and Juno in 1807. These bodies were smaller than planets and were eventually realized to be part of a larger collection that would be called asteroids, forming the asteroid belt.	
tantalum	1802	Tantalum	The invention is the discovery of a new metal, which was named after the Greek mythological figure Tantalus. It is a rare, hard, blue-gray metal known for its resistance to corrosion paralleling Tantalus's own unattainable desires.	Anders Gustav Ekeberg	Sweden		Science	Anders Gustav Ekeberg, a Swedish chemist, analyzed minerals from Finland and discovered a new metal in 1802, which he named tantalum. The name was inspired by the Greek mythological figure Tantalus, reflecting the metal's resistance to absorption and corrosion, paralleling Tantalus's own unattainable desires.	
atomic-theory	1803	Atomic theory	The Atomic Theory posits that matter is composed of discrete units called atoms, which combine in simple whole-number ratios to form chemical compounds. It laid the groundwork for modern chemistry and provided a systematic explanation for chemical reactions based on the combination and rearrangement of atoms.	John Dalton	England	boyles-law	Science	In 1803, an English chemist put forth a comprehensive summary of atomic theory, which suggested that all matter is made up of atoms. This was a more defined, evidence-based approach that built upon Boyle's law and personal investigations. The chemist proposed the idea, for instance, that 8 grams of oxygen would combine with 1 gram of hydrogen to form 9 grams of water, implying that the compound would have a correlating weight. Dalton even utilized the term 'atom' from Democritus but provided a new theory based on experiments and careful chemical observation rather than speculation.	
meteorites	1803	Meteorites	Biot investigated hundreds of supposed meteorite sightings and concluded that the reports were correct and that meteorites did exist and did fall from the sky.	Jean-Baptiste Biot	France	meteorites-hypothesis	Space	Scientist Chladni's work in the late 18th century prompted the scientific community to seriously consider the possibility of meteorites. Following this, Jean-Baptiste Biot confirmed reports of stone falls by examining falls in a region 100 miles west of Paris, arguably laying the foundation for modern planetary science.	
cerium-osmium-iridium	1803	Cerium, Osmium, Iridium	Three new elements were discovered, expanding the periodic table and contributing to the understanding of Earth's composition and the diversity of naturally occurring elements.	Jöns Jacob Berzelius	Sweden		Science	New chemical elements, specifically cerium, osmium, and iridium, were discovered in 1803 by the Swedish chemist Jöns Jacob Berzelius and his colleagues. The discovery of these elements not only broadened the scope of known elements during that period but also provided new substances for study and use in various chemical applications.	
scientific-ballooning	1804	Scientific ballooning	A balloon carrying Biote and Gay-Lussac ascent reached an alpine peak in the Alps (4 miles elevation) to test the composition of the air and to study Earth's magnetic field. This kicked off significant use of balloons for conducting scientific research and marked the beginning of high-altitude explorations.	Jean-Baptiste Biot and Joseph Louis Gay-Lussac	France	hot-air-balloon	Science	Scientific ballooning began in 1804 when Biote and Joseph Louis Gay-Lussac made a balloon ascent reaching a height of 4 miles, reaching an alpine peak in the Alps. This endeavor enabled them to test the composition of the air and to study Earth's magnetic field, contrasting their findings with measurements at sea level, which showed no change, laying the groundwork for future atmospheric explorations.	
steam-locomotive	1804	Steam locomotive	The concept of a steam locomotive was based on the idea that if steam can turn paddle wheels in water, it should be able to turn wheels on land. Early designs faced challenges such as losing too much energy until Trevithick invented iron rails on which the wheels rode. Still he did not reach commercial success.	Richard Trevithick	England	improved-steam-engine	General	The concept of a steam locomotive was based on the idea that if steam can turn paddle wheels in water, it should be able to turn wheels on land. The early steam-powered vehicle faced challenges such as losing too much energy but paved the way for the subsequent development of more efficient steam locomotive designs.	
missouri-river	1804	Missouri River	The Lewis and Clark Expedition explored the Missouri river to its source, onward to the Oregon Territory, then to the Columbia River into the Pacific ocean, the first ocean-to-ocean and back trip across the United States.	Meriwether Lewis and William Clark	United States		Geography		
morphine	1805	Morphine	An alcoholic extract of immature opium blooms was called laudanum and had first been introduced by Paracelsus. The chemical eventually named morphene and found much more effective in dulling pain and inducing sleep than the juice itself.	Friedrich Wilhelm Adam Ferdinand Serturner	Germany	mineralogy	Science	Morphine, extracted from opium poppies, was developed as a medication to alleviate severe pain without causing the patient to lose consciousness. It represented a major advancement in pain management and remains one of the most potent analgesics used in medicine today, although it also has the potential for addiction and abuse.	
asparagine	1806	Asparagine	Asparagine was the first amino acid to be isolated, marking a significant milestone in the field of organic chemistry and biochemistry. This discovery laid the groundwork for understanding the role of amino acids in biological systems.	Louis-Nicolas Vauquelin	Germany		Science	In 1806, a substance called asparagine was isolated from asparagus, which was eventually realized to be the first of a set of compounds extremely important to life, known as amino acids. The isolation of asparagine pointed to a broader understanding of the biological importance of amino acids.	
sodium-and-potassium	1807	Sodium and potassium	New elemental metals, sodium and potassium, were isolated using electrolysis, a process that uses an electric current to decompose substances. This breakthrough enabled the isolation of several alkali metals, which had a significant impact on the development of the field of electrochemistry.	Humphry Davy	England	decomposition-of-water	Science	The isolation of sodium and potassium was achieved by passing an electric current through molten potassium carbonate and then through a solution of sodium carbonate. The electrolysis process resulted in the liberation of the metals which were previously unable to be isolated by conventional chemical means. This experiment led to the isolation of the alkali metals barium, strontium, calcium, and magnesium in the subsequent year and excited the scientific world, propelling the study of electrochemistry.	
working-steamboat	1807	Steamboat	The completion of the steamboat Clermont marked a significant development in navigable technology, making the steamboat a commercial success. It traveled from New York to Albany in record time, at an avearge speed of 5 mph.	Robert Fulton	United States	steamboat	Design	Robert Fulton is credited with making the steamboat a commercial success, culminating in 1807 with the creation of the Clermont. This steamboat was 133 feet long and could maintain an average speed of nearly 5 miles per hour. With the introduction of the Clermont, the use of steamboats proliferated, enhancing trade and passenger transport on rivers and coastal waters, and setting the stage for the expansion of the steamboat fleet.	
polarized-light	1808	Polarized light	By playing with a crystal of Iceland spar, visible light could be polarized, thus finding that light could exhibit properties similar to that of a magnet with different poles. 	Étienne-Louis Malus	France	double-refraction	Science	The discovery was made when the physicist observed that when sunlight passed through a crystal of Iceland spar, instead of showing double refraction as expected, it produced a single ray of light after passing through the crystal at a certain angle. When the crystal was aligned at right angles to its original direction, a new ray of light appeared while the first ray disappeared; a phenomenon the physicist named polarized light, although his initial assumption about light having poles like magnets turned out to be incorrect.	
mechanism-of-evolution	1809	Mechanism of evolution	Lamarck theorized that the use or disuse of certain body parts by animals could lead to the development of these parts and potentially be inherited by offspring, contributing to evolutionary changes.	Jean-Baptiste Lamarck	France	invertebrates	Science	The theory posited that biological evolution had taken place and could be influenced by organisms' interaction with their environment. For instance, the theory suggested that giraffes developed longer necks to reach leaves, and these traits could be passed on to their offspring. This idea stems from the concept of the inheritance of acquired characteristics, which was later shown not to be a mechanism of inheritance. Nonetheless, the publication stirred interest in the field of evolution.	
aerodynamics	1809	Aerodynamics	Cayley visualized flying devices with fixed wings; tails with control surfaces to allow turning and braking, and propulsive mechanisms. 	George Cayley	England		Science	The dream of human flight led to the establishment of foundational principles in aerodynamics, with early conceptualizations of flying devices that used fixed wings and appropriate surfaces to interact with air currents for lift, control, and movement. The publications from 1809 by a British scientist began to lay down the theoretical groundwork for these ideas, which would greatly influence the future of flight technology.	
phrenology	1810	Phrenology	Gall proposed that the brain's shape played a major role in its function, and that its shape could be determined by the irregularities and bumps externally visible on the skull. This pseudoscientific discipline was later discredited.	Franz Joseph Gall	Germany		Science	In 1810, German physician Franz Joseph Gall published the first volume of a four-volume treatise on the nervous system, which outlined the foundations of phrenology. Gall believed that mental capacities and different parts of the brain involved with different parts of the human body could be correlated with the shape of the brain. According to this theory, certain brain areas corresponding to certain traits resulted in bulges or indentations on the skull, allowing one to analyze a person’s psychological attributes by examining these bumps on the head.	
chlorine	1810	Chlorine	Up to now, chlorine was considered to be an oxygen-containing compound. Davy showed this was not so, and that chlorine was a distinct element. 	Humphry Davy	England	oxygen, chlorine-oxygen	Science	Chlorine was identified as an element by Davy, refuting prior beliefs that it was a compound containing oxygen as suggested by Scheele. Davy's work on hydrochloric acid showed that chlorine, present within the acid, did not contain oxygen, contrary to the common thought of the time which associated acid properties to the presence of oxygen.	
avogadro's-hypothesis	1811	Avogadro's hypothesis	This hypothesis states that all gases, under the same conditions of temperature and pressure, contain the same number of particles, thereby explaining the relationship between the volume and number of particles of a gas. 	Amedeo Avogadro	Italy	atomic-theory	Science	Avogadro's hypothesis posited that at equal temperature and pressure, equal volumes of gases contain an equal number of particles, regardless of the type of gas. This principle was foundational for developing a deeper understanding of molecular composition and stoichiometry in chemistry. Avogadro suggested that substances like water vapor were composed of molecules, specifically, in water's case, of two hydrogen atoms and one oxygen atom, and not as single atoms as John Dalton had previously suggested. This idea facilitated the conceptual separation of atoms and molecules and led to essential developments in the molecular theory of gases and compounds.	
iodine	1811	Iodine	Iodine was discovered by a French chemist when he was manufacturing potassium nitrate for gunpowder and accidentally added too much acid to potassium carbonate. This resulted in a beautiful violet vapor that condensed into dark, lustrous crystals. It was suspected to be a new element, confirmed by chemists, and named from the Greek word for 'violet'.	Bernard Courtois	France	gunpowder	Science	While manufacturing potassium nitrate needed in gunpowder, Bernard Courtois added too much acid to potassium carbonate and upon heating, obtained a violet vapor that condensed into dark crystals. After his discovery, he suspected it might be a new element and passed it on for confirmation. It was eventually confirmed and the name 'iodine' was suggested, originating from the Greek word for violet.	
catalysis	1812	Catalysis	Starch was first converted into a sugar (corn syrup), by heating it with sulfuric acid in acid-catalyzed reaction. Since the sulfuric acid was not consumed, it was the first documented example of catalysis in organic chemistry, even though the general concept of catalysis was known (e.g. yeast). 	Gottlieb Sigismund Constantin Kirchhoff	Russia	fermentation	Science	Humans have known since ancient times that substances like yeast can cause reactions indefinitely without being consumed themselves. This concept was further explored by Gottlieb Sigismund Constantin Kirchhoff, who pondered the idea of non-living substances that could catalyze changes, leading to a deeper understanding of chemical reactions.	
catastrophism	1812	Catastrophism	Cuvier's concept of catastrophism was based on the observation that fossils seemed to represent extinct creatures and that the deeper the strata, the less the fossils resembled modern organisms, implying a succession of catastrophic events. Cuvier is considered the founder of paleontology.	Georges Cuvier	France	uniformitarianism	Science	Georges Cuvier's work on catastrophism involved the study of fossils to advance the idea that Earth's natural history was influenced by a series of catastrophic events that led to the mass extinctions of certain life forms, with new forms arising post these events. This challenged the previously dominant view of uniformitarianism and underlined the belief in successive creations in Earth's history.	
universe-as-machine	1812	Universe as machine	Laplace suggested a deterministic universe, proposing that if one knew the position and velocity of every particle, the future and past of the universe could be calculated, eliminating the need for divine intervention. This idea formalized the concept of a universe obeying mechanical laws without exception.	Pierre-Simon Laplace	France	laws-motion	Science	Pierre-Simon Laplace's theory posited that the universe operates like a vast automatic machine following a predetermined path. According to his hypothesis, by knowing the position and velocity of all particles, one could predict future events which led to the philosophical viewpoint that a mechanistic universe operates without the need for a Godly figure to guide or intervene in natural processes.	
chemical-symbols	1813	Chemical symbols	A system for representing atoms using simple letters was adopted, with single letters or letter pairs denoting elements like hydrogen (H), oxygen (O), and more complex symbols for compounds. The system simplified the communication and instruction of chemical compositions and continues to be standard in chemistry.	Jöns Jakob Berzelius	Sweden	atomic-theory	Science	With the advancement of atomic theory, there arose the need for a simple method to represent atoms. In 1813, this led to the use of letters, such as H for a hydrogen atom and O for an oxygen atom, among others, as a standardized system for representing chemical elements and compounds, which simplified scientific communication and is still in use today.	
plant-classification	1813	Plant classification	This new plant classification system was a significant part of a large encyclopedia project that improved the system of plant classification beyond that of Linnaeus, providing a more detailed basis for the scientific understanding and categorization of plants.	Augustin-Pyrame de Candolle	France	taxonomy, plant-species-classified	Science	In 1813, French botanist Augustin-Pyrame de Candolle began an ambitious project to catalog plant life, devising an improved system of classification. While only seven of the projected twenty volumes were published before his death, his work built upon and refined Linnaean taxonomy, offering a more detailed plant classification system still in use today.	
spectral-lines	1814	Spectral lines	Meticulously crafted prisms could be used to observe dark lines in the solar spectrum, leading to the identification of nearly six hundred lines. These lines, known as Fraunhofer lines, marked the wavelengths where light was absorbed and became foundational in the fields of chemistry and astronomy for identifying elemental composition.	Joseph von Fraunhofer	Germany	light-spectrum	Science	Since Isaac Newton's initial study of the spectrum in 1666, the understanding of light had not significantly advanced until 1814 when a German physicist crafted precise prisms and observed the solar spectrum through a narrow slit. By observing and mapping the positions of these dark lines, known as Fraunhofer lines, he laid the groundwork for spectroscopy, which would become an essential tool for chemists and astronomers to determine the composition of different materials and celestial bodies.	
plane-of-polarized-light	1815	Plane of polarized light	An experiment showed that two pieces of Iceland spar, if lined up parallel, allow unpolarized light to pass through unimpeded, while if one piece is rotated, the plane of the polarized light must be turned for the light to pass through again. 	Jean-Baptiste Biot	France	polarized-light	Science	In 1815, it was discovered that polarized light could behave differently when it passed through organic substances. Specifically, when Iceland spar (calcite) was used to polarize light, and then the polarized light was passed through an organic liquid, the plane of polarization had to be rotated to allow the light to continue through another piece of Iceland spar. This effect was noted since certain organic liquids caused the light to twist, suggesting an asymmetry in the molecules of organic substances. Important connections were made regarding the interaction between light and the structure of organic molecules.	
organic-radicals	1815	Organic radicals	Through work with poisonous gas hydrogen cyanide, he discovered another gas cyanogen (CN_2), and went to show that carbon-nitrogen or cyano group is very stable and maintained integrity through various chemical changes. A significant contribution to organic chemistry.	Joseph Louis Gay-Lussac	France		Science	In 1815, a scientific breakthrough occurred with the understanding of organic radicals, which are groups of atoms that remain consistent through different chemical reactions. The discovery that was highlighted is the identification of cyanogen, a carbon-nitrogen compound, which maintained its structural integrity as it transferred as a unit through various chemical reactions. This concept was instrumental in progressing the understanding of organic chemistry and the behavior of organic compounds during chemical changes.	
prout's-hypothesis	1815	Prout's hypothesis	Prout's Hypothesis suggested that all atomic weights are whole number multiples of hydrogen, proposing that hydrogen constitutes the fundamental atom and that other elements are composed of hydrogen atoms. This was a significant step in atomic theory, though it was later proven to be an oversimplification.	William Prout 	England	atomic-theory	Science	An English chemist in 1815 put forward a hypothesis that posited hydrogen as the primary building block of all other elements, suggesting that the atomic weights of elements are integral multiples of the atomic weight of hydrogen. While this theory greatly influenced the atomic theory, it was eventually refined as inaccuracies were discovered. The concept, however, helped pave the way for our current understanding of atomic structure and elemental composition.	
macadamized-roads	1815	Macadamized roads	Macadamized roads (named after the inventor) improved on older road construction methods and involved laying stones of specific sizes in layers and then compacting them for durability and raising them for proper drainage. They became prominent in Great Britain before spreading to other countries.	John Loudon McAdam	Great Britain	paved-road	Design	Paved roads, or 'Macadamized Roads', were invented in 1815 by John Loudon McAdam, who discovered a more efficient road-building method involving laying stones in layers with larger sizes at the base and smaller ones on the surface, followed by compaction with fine gravel or slag. This technique improved upon previous road-building methods by creating a road surface that was elevated above adjacent fields for better water runoff and that was significantly more durable and effective for transportation.	
stethoscope	1816	Stethoscope	The stethoscope is a medical device used to listen to the sounds made by the heart, lungs, and other organs in the human body. It was a significant advancement in diagnostic procedures which previously relied on placing the ear directly to the patient for auscultation.	René-Théophile-Hyacinthe Laënnec	France		Science	Diagnostic procedures were limited in the early days of modern medicine, but one obvious way of getting information was to place the ear to the chest wall and listen to the sound of the heartbeat. In 1816, a French physician, faced with the necessity of listening to the heartbeat of a young woman, invented the stethoscope as a means to maintain decorum and improve the audibility of internal sounds. He used a rolled-up piece of paper to create a tube that amplified these sounds, which he found to be louder compared to directly placing his ear against the patient's chest.	
chlorophyll	1817	Chlorophyll	The discovery of chlorophyll marked a significant advancement in plant chemistry, identifying the substance responsible for the green pigmentation in plants that also plays a crucial role in photosynthesis by trapping sunlight and converting it into energy, which in turn creates plant tissue and oxygen.	Pierre Joseph Pelletier and Joseph Bienaimé Caventou	France	photosynthesis	Science	Building on prior research into how plants restore the vitality of air, two scientists in 1817 isolated a green compound from plants that was critical for photosynthesis. This compound, later named chlorophyll, is essential for plants to capture light energy and convert carbon dioxide and water into glucose and oxygen, a process fundamental to plant life and the broader ecosystem.	
cadmium-lithium-selenium	1817	Cadmium, Lithium, Selenium	New chemical elements cadmium, lithium, and selenium were isolated, expanding the knowledge of the periodic table and contributing to various scientific and industrial applications.	Friedrich Strohmeyer, Johan August Arfwedson, and Jöns Jacob Berzelius	Germany and Sweden		Science	Friedrich Strohmeyer discovered cadmium in zinc carbonate while analyzing an impurity that appeared during strong heating, naming it after the Latin word for calamine. Johan August Arfwedson identified lithium in mineral petalite, named after the Greek word for stone, and Jöns Jacob Berzelius discovered selenium in sulfuric acid chamber muds, naming it after the Greek word for moon.	
transverse-light-waves	1818	Transverse light waves	Fresnel suggested that light was a transverse wave, suggesting that it would explain reflection, refraction, and diffraction. Furthermore, a transverse wave would explain polarization.	Augustin-Jean Fresnel	France	light-waves,plane-of-polarized-light	Science	In 1818, a French physicist published a treatise that considered transverse light waves in a detailed mathematical way, showing that such waves would account for reflection, refraction, and diffraction just as well as longitudinal waves. The discovery explained polarized light, which couldn't be elucidated by the previously accepted model of light purely consisting of longitudinal waves.	
encke's-comet	1818	Encke's comet	Encke's Comet was the second comet after Halley's whose cometary orbit had been worked out. This one was the first short-period comet, with a period of 3.3 years, which challenged previous celestial calculations.	Johann Franz Encke	Germany	halley-comet	Space	German astronomer Johann Franz Encke calculated the orbit of a comet that was observed by the French astronomer Jean-Louis Pons and concluded that it had a short period of return. The comet, now known as Encke's Comet, had its orbit calculated precisely, something no previous comet had achieved.	
atomic-weights	1818	Atomic weights	After thousands of analyses on chemicals, Berzelius published a table of atomic weights. This marked a milestone in the field of chemistry, providing a systematic foundation for the identification and classification of elements.	Jöns Jacob Berzelius	Sweden	chemical-nomenclature	Science	In 1818, a chemist felt justified in publishing a table of atomic weights based on thousands of analyses on various chemicals after years of meticulous work. This table helped standardize chemical weights and contributed to the progress of chemical science by providing a more consistent way to classify and identify elements.	
specific-heat	1819	Specific heat	Each substance requires a certain amount of heat to raise its temperature by 1 degree C. This discovery showed that the specific heat of an element was inversely proportional to its atomic weight.	Pierre-Louis Dulong and Alexis-Thérèse Petit	France	atomic-theory	Science		
steamship	1819	Steamship	The steamship combined steam-powered engine technology with traditional sail-based navigation. Although largely reliant on sails, the steam engine on board opened up new possibilities of travel and trade by providing consistent power, particularly important for gentler rivers where wind conditions could be less favorable.	John Fitch and Robert Fulton	United States	improved-steam-engine	General	The steamboats designed by John Fitch and later improved by Robert Fulton were primarily intended for river travel, utilizing steam engine power to propel the vessel. The notable journey of the American steamship Savannah in 1819 demonstrated the potential of this technology by sailing from Savannah, Georgia, to Liverpool, England, despite the steam engine being active for only a small portion of the voyage.	
electromagnetism	1820	Electromagnetism	Electrical current flowing through wires creates magnetic fields, which can cause a compass needle to deflect and current-carrying wires to attract or repel each other. This discovery established the foundation of electro-magnetism in physics.	Hans Christian Ørsted 	Denmark	compass	Science	In 1820, it was demonstrated that an electric current creates a magnetic field. When currents flowed in opposite directions through wires placed close together, the wires repelled each other, whereas they attracted each other when the currents flowed in the same direction. This interaction was further illustrated by André-Marie Ampère, who showed that current flowing through a wire bent into a helix could strengthen the magnetic effect, with the helix acting like a magnet with a north pole and a south pole.	
simple-electromagnet	1820	Simple electromagnet	Electromagnetism was improved upon by André-Marie Ampère, who showed that current flowing through a wire bent into a helix could strengthen the magnetic effect, with the helix acting like a magnet with a north pole and a south pole.	André-Marie Ampère	France	electromagnetism	Science		
glycine	1820	Glycine	Glycine is a simple amino acid discovered by heating gelatin with acids, which was eventually found to consist of bound substances that could split apart, revealing a hydrogen-oxygen-nitrogen combination distinct from sugars. This discovery was significant in the study of amino acids, which are the building blocks of proteins.	Henri Braconnot	France	catalysis	Science	Following Friedrich Accum and others' work on isolating substances from complex compounds, the substance glycine was identified after gelatin, derived from animals, was heated with acids. It was named glycine from the Greek word for sweet, and it was eventually recognized as an amino acid, not a sugar, due to its chemical composition featuring hydrogen, oxygen, and nitrogen atoms, unlike sugars which do not contain nitrogen atoms.	
antarctic-land	1820	Antarctic land	This discovery marked the first known sighting of the Antarctic peninsula, a significant landmass north of the Antarctic Circle, by a British naval commander and a Russian explorer in the same geographical region. It contributed to early 19th-century exploration efforts and laid the groundwork for future Antarctic expeditions.	Palmer, Bransfield, Bellingshausen	America, England, Russia	antarctic-circle	Geography	In the year 1820, both a British naval commander named Edward Bransfield and a Russian explorer named Fabian Gottlieb von Bellingshausen claimed to have sighted land in the Antarctic region. While there was no way to know the exact nature of the landscape, it was later realized that they had encountered the Antarctic peninsula. This discovery played a key role in the history of Antarctic exploration and helped to expand geographic knowledge of the previously uncharted region.	
diffraction-gratings	1821	Diffraction gratings	Diffraction gratings are optical components used to disperse light into individual colors or wavelengths, which have largely replaced prisms in the study of light spectra. They are essential in the field of spectroscopy for resolving fine details in the spectrum of emitted or reflected light.	Joseph von Fraunhofer	Germany	light-spectrum	Science	Following experiments with light, diffraction gratings were developed as a means to produce more detailed and precise light spectra than what could be achieved with prisms alone. They consisted of fine, parallel lines scratched on glass, which when illuminated by light, produced detailed spectra by diffracting the light at different angles depending on the wavelength.	
electrical-motion	1821	Electrical motion	This discovery laid the foundation for the relationship between electricity and motion, showing how electric currents can produce mechanical movement. The finding was pivotal in developing electromagnetic technology and influenced many future innovations, including electric motors.	Michael Faraday	England	electromagnetism	Science	The discovery of electromagnetism continued to trigger a surge of experimentation, particularly with Michael Faraday's setup of an electrical circuit that included two wires and two magnets. The experimentation showed that when an electric current passed through a wire, it could cause motion in a nearby magnet or wire, thus demonstrating for the first time that electricity can produce mechanical motion in controlled circumstances.	
seebeck-effect	1821	Seebeck effect	The Seebeck effect is the first demonstration of thermoelectricity, generating a voltage difference in a circuit composed of two different metals that are connected at two places with different temperatures. This effect found applications in power generation and temperature measurement	Thomas Johann Seebeck	Germany	electromagnetism	Science	German physicist Thomas Johann Seebeck discovered in 1821 that when two different metals were joined at two places and kept at different temperatures, an electric current would be generated. This finding is crucial for understanding thermoelectric effects and is the basis for technologies such as thermocouples and thermoelectric generators.	
glaciers	1821	Glaciers	Venetz suggested that Glaciers must, at some time in the past, have extended far beyond their present limits, explaining why striation patterns resembling glacier movement were found so far from present glaciation.	Ignatz Venetz	Switzerland		Geography	The section on Glaciers discusses how these massive ice forms were observed to move like rivers of ice down mountainsides, with geologists also noting striations in rocks caused by their movement. A Swiss geologist published material in 1821 proposing that glaciers once extended much further than they do in modern times; however, the idea did not gain immediate traction.	
fourier-analysis	1822	Fourier analysis	Fourier's theorem outlined the flow of heat and introduced the concept of using sinusoidal components to break down any periodic function, which became the foundation for the field of Fourier analysis. This work significantly advanced the understanding of heat transfer and laid the groundwork for modern signal processing.	Jean-Baptiste-Joseph Fourier	France	calculus	Math	The 1822 publication by French mathematician Jean-Baptiste-Joseph Fourier presented his 'Analytical Theory of Heat', which explained how heat flows using sinusoidal series to express any periodic function. Fourier's work established the technique of dimensional analysis and indicated that the basic set of units should be mass, length, and time, from which other units are derived.	
analytical-engine	1822	Analytical engine	The Analytical Engine was an early mechanical general-purpose computer. It was designed to perform any kind of calculation or logical operation automatically by using punched cards.	Charles Babbage	England	jacquard-loom	Science	Around 1822, Charles Babbage began developing the concept for a machine capable of performing a wide range of calculations by mechanical means, including the use of punched cards. Although a full operational version was never completed in his lifetime, the design of the Analytical Engine laid the groundwork for future computers, being able to perform sequential operations and print results.	
projective-geometry	1822	Projective geometry	Projective geometry is a foundational part of modern geometry dealing with properties and principles that are invariant under projection transformations. Roughly it is the study of the shadows cast by geometric figures.	Jean-Victor Poncelet	France	analytic-geometry	Math	While he was a prisoner of war during Napoleon’s invasion of Russia, Jean-Victor Poncelet reflected on the properties of geometric figures under projection, leading to publications that established the discipline of projective geometry, which studies the relationships between shapes as they appear in perspective or when projected onto various surfaces.	
iguanodon	1822	Iguanodon	The Iguanodon was a significant discovery in paleontology, being a large ancient reptile whose name reflects its iguana-like teeth. As it turned out, this was the first of what would eventually be called dinosaurs.	Gideon Mantell	England		Science	In 1822, Gideon Mantell made a groundbreaking discovery when he identified the bones and teeth resembling those of an iguana, but much larger, which turned out to be from a previously unknown large ancient reptile later named 'Iguanodon'. It was one of the earliest recognitions of what would become classified as dinosaurs.	
